customer_id,lifetime_revenue,lifetime_profit,num_orders,first_order_date,last_order_date,customer_lifetime_days,customer_name,city,region
C1030,63873.25,13779.84,1,2024-10-27,2024-10-27,0,Dhruv Magar,Surat,West
C1031,28401.0,4320.3,1,2025-03-31,2025-03-31,0,Dhruv Raju,Surat,West
C1032,142589.7,31272.54,1,2024-01-31,2024-01-31,0,Dhruv Sagar,Hyderabad,South
C1033,7275.15,739.35,1,2025-06-27,2025-06-27,0,Dhruv Sarna,Chennai,South
C1034,47252.7,9975.16,1,2024-12-23,2024-12-23,0,Dhruv Sen,Pune,West
C1035,114360.0,8034.97,1,2024-04-26,2024-04-26,0,Dhruv Shroff,Thiruvananthapuram,South
C1036,101339.1,22912.15,1,2023-10-16,2023-10-16,0,Dhruv Sodhi,Ahmedabad,West
C1037,142437.0,13234.4,1,2024-12-27,2024-12-27,0,Dhruv Srinivasan,Mumbai,West
C1038,31294.9,3532.93,1,2023-12-04,2023-12-04,0,Dhruv Sule,Mumbai,West
C1039,203048.1,20206.77,1,2024-11-09,2024-11-09,0,Dhruv Sura,Guwahati,East
C104,13455.8,1836.71,1,2024-01-06,2024-01-06,0,Aaryahi Kari,Bangalore,South
C1040,92745.0,17453.31,1,2023-10-31,2023-10-31,0,Dhruv Thaker,Coimbatore,South
C1041,32373.9,2879.74,1,2024-06-01,2024-06-01,0,Dishani Baral,Jaipur,North
C1042,9133.0,813.5,1,2025-09-28,2025-09-28,0,Dishani Bhatt,Guwahati,East
C1043,126600.0,16591.78,1,2024-09-29,2024-09-29,0,Dishani Chaudhry,Ranchi,East
C1044,41542.2,3033.07,1,2024-12-09,2024-12-09,0,Dishani Das,Goa,West
C1045,60185.7,4072.39,1,2024-11-25,2024-11-25,0,Dishani Dhillon,Pune,West
C1046,182567.25,15611.59,1,2025-03-21,2025-03-21,0,Dishani Dugar,Amritsar,North
C1047,123130.8,12203.880000000001,2,2024-09-17,2025-04-18,213,Dishani Lad,Chandigarh,North
C1048,231948.0,13321.02,1,2024-11-12,2024-11-12,0,Dishani Luthra,Pune,West
C1049,27476.25,2496.55,1,2025-02-04,2025-02-04,0,Dishani Rajagopal,Hyderabad,South
C105,205174.8,33028.02,1,2023-12-17,2023-12-17,0,Aaryahi Khare,Chennai,South
C1050,39541.0,3941.94,1,2024-01-30,2024-01-30,0,Dishani Ramaswamy,Hyderabad,South
C1051,32323.8,4419.76,1,2024-11-22,2024-11-22,0,Dishani Ranganathan,Coimbatore,South
C1052,67158.0,15052.38,1,2025-07-17,2025-07-17,0,Dishani Sama,Patna,East
C1053,258648.0,33868.65,1,2024-12-29,2024-12-29,0,Dishani Sane,Bhubaneswar,East
C1054,1501.2,198.1,1,2023-12-13,2023-12-13,0,Dishani Sastry,Guwahati,East
C1055,282877.2,41965.03,1,2025-05-27,2025-05-27,0,Dishani Sethi,Lucknow,North
C1056,266912.0,63455.49,1,2025-05-05,2025-05-05,0,Dishani Shankar,Ranchi,East
C1057,154268.0,23295.77,1,2024-08-20,2024-08-20,0,Dishani Sharaf,Thiruvananthapuram,South
C1058,241165.4,40413.38,1,2025-02-27,2025-02-27,0,Dishani Thaman,Bhubaneswar,East
C1059,104616.0,23985.99,1,2025-06-07,2025-06-07,0,Dishani Tiwari,Thiruvananthapuram,South
C106,228556.5,39171.63,1,2024-05-18,2024-05-18,0,Aaryahi Lala,Thiruvananthapuram,South
C1060,21370.25,4191.3,1,2025-05-06,2025-05-06,0,Dishani Wali,Pune,West
C1061,204261.0,49847.91,1,2024-05-28,2024-05-28,0,Divij Bajaj,Surat,West
C1062,160791.45,19075.71,2,2024-03-03,2024-06-05,94,Divij Bawa,Thiruvananthapuram,South
C1063,31770.4,2726.18,1,2023-12-11,2023-12-11,0,Divij Bhardwaj,Ahmedabad,West
C1064,99482.3,8464.18,1,2024-07-13,2024-07-13,0,Divij Bir,Mumbai,West
C1065,64346.35,11812.56,1,2024-10-19,2024-10-19,0,Divij Bose,Ahmedabad,West
C1066,62192.7,4352.36,1,2025-09-11,2025-09-11,0,Divij Chada,Patna,East
C1067,287432.0,41217.09,1,2025-09-03,2025-09-03,0,Divij Chawla,Surat,West
C1068,81556.0,19814.83,1,2024-04-02,2024-04-02,0,Divij Dara,Hyderabad,South
C1069,349832.75,41408.8,1,2024-06-10,2024-06-10,0,Divij Dhingra,Pune,West
C107,82682.1,10027.11,1,2025-10-01,2025-10-01,0,Aaryahi Lalla,Ahmedabad,West
C1070,68175.0,5299.2,1,2025-08-20,2025-08-20,0,Divij Dixit,Amritsar,North
C1071,226933.0,29138.95,1,2024-05-30,2024-05-30,0,Divij Doctor,Jaipur,North
C1072,112651.0,9073.89,1,2023-10-08,2023-10-08,0,Divij Gade,Pune,West
C1073,8844.5,502.84,1,2024-10-26,2024-10-26,0,Divij Gulati,Delhi,North
C1074,323719.1,36999.28,2,2024-05-04,2024-05-26,22,Divij Kamdar,Guwahati,East
C1075,39762.15,7621.68,1,2024-10-07,2024-10-07,0,Divij Kurian,Patna,East
C1076,210328.0,42850.12,1,2024-05-17,2024-05-17,0,Divij Lad,Goa,West
C1077,22077.6,3220.79,1,2024-10-10,2024-10-10,0,Divij Loyal,Chennai,South
C1078,137860.0,11233.59,1,2023-11-05,2023-11-05,0,Divij Mahajan,Coimbatore,South
C1079,204681.0,44311.79,1,2024-03-24,2024-03-24,0,Divij Mallick,Lucknow,North
C108,13776.0,1016.55,1,2024-01-26,2024-01-26,0,Aaryahi Lata,Surat,West
C1080,109074.6,18050.54,1,2025-09-27,2025-09-27,0,Divij Raj,Bhubaneswar,East
C1081,37063.3,4904.89,1,2025-09-15,2025-09-15,0,Divij Rajagopal,Thiruvananthapuram,South
C1082,91004.0,17998.87,1,2024-12-23,2024-12-23,0,Divij Ramesh,Bhubaneswar,East
C1083,118850.4,29592.8,1,2025-08-21,2025-08-21,0,Divij Ray,Surat,West
C1084,62499.0,13726.38,1,2025-01-21,2025-01-21,0,Divij Tank,Mumbai,West
C1085,144750.0,33955.47,1,2023-10-10,2023-10-10,0,Divij Tara,Patna,East
C1086,104580.0,7467.72,1,2025-04-13,2025-04-13,0,Divij Thaman,Patna,East
C1087,96417.0,5780.97,1,2025-05-31,2025-05-31,0,Divij Varma,Chandigarh,North
C1088,255371.4,24419.38,1,2024-09-11,2024-09-11,0,Divij Vyas,Mumbai,West
C1089,114904.0,18320.77,1,2025-03-02,2025-03-02,0,Divit Borde,Lucknow,North
C109,47734.4,2733.52,1,2025-09-22,2025-09-22,0,Aaryahi Loyal,Delhi,North
C1090,145360.2,19340.21,1,2024-07-05,2024-07-05,0,Divit Date,Chennai,South
C1091,126296.0,14274.55,1,2023-11-08,2023-11-08,0,Divit Deep,Goa,West
C1092,17985.4,1606.5,1,2024-04-01,2024-04-01,0,Divit Hora,Kolkata,East
C1093,19066.0,4208.46,1,2023-12-16,2023-12-16,0,Divit Jaggi,Bangalore,South
C1094,66473.4,10615.49,1,2024-02-26,2024-02-26,0,Divit Koshy,Jaipur,North
C1095,133992.75,11478.75,1,2025-08-19,2025-08-19,0,Divit Kumar,Ranchi,East
C1096,278332.5,25278.29,1,2025-02-27,2025-02-27,0,Divit Sant,Bangalore,South
C1097,69000.4,14742.92,1,2024-05-22,2024-05-22,0,Divit Subramaniam,Jaipur,North
C1098,20274.0,1362.93,1,2024-01-13,2024-01-13,0,Divit Swaminathan,Patna,East
C1099,76058.85,11021.72,1,2023-11-18,2023-11-18,0,Divit Wason,Guwahati,East
C11,56313.6,12157.99,1,2023-11-26,2023-11-26,0,Aaina Halder,Pune,West
C110,650151.9,107156.35999999999,3,2024-10-27,2025-05-19,204,Aaryahi Madan,Jaipur,North
C1100,110040.0,16479.91,1,2025-08-02,2025-08-02,0,Divyansh Arya,Ranchi,East
C1101,45749.0,6474.33,2,2024-08-06,2024-09-28,53,Divyansh Bajwa,Goa,West
C1102,53580.0,7884.03,1,2023-12-13,2023-12-13,0,Divyansh Bhasin,Kolkata,East
C1103,87038.4,21271.05,1,2025-04-02,2025-04-02,0,Divyansh Bhattacharyya,Amritsar,North
C1104,135517.5,8531.85,1,2024-03-07,2024-03-07,0,Divyansh Bhavsar,Kolkata,East
C1105,69260.4,8452.35,1,2024-12-11,2024-12-11,0,Divyansh Bumb,Pune,West
C1106,67150.0,8067.9,1,2025-05-11,2025-05-11,0,Divyansh Chowdhury,Surat,West
C1107,72180.05,12083.51,1,2025-03-11,2025-03-11,0,Divyansh Desai,Jaipur,North
C1108,22865.0,1980.35,1,2024-06-10,2024-06-10,0,Divyansh Din,Bangalore,South
C1109,51998.75,10749.96,1,2024-11-22,2024-11-22,0,Divyansh Kale,Lucknow,North
C111,9223.2,789.51,1,2023-10-07,2023-10-07,0,Aaryahi Mahajan,Ahmedabad,West
C1110,48844.8,6603.86,1,2024-07-08,2024-07-08,0,Divyansh Malhotra,Kolkata,East
C1111,210175.25,37014.87,1,2024-04-30,2024-04-30,0,Divyansh Rastogi,Coimbatore,South
C1112,111888.0,14864.2,1,2025-05-21,2025-05-21,0,Divyansh Ratta,Bangalore,South
C1113,12663.2,3023.33,1,2025-05-22,2025-05-22,0,Divyansh Ravel,Pune,West
C1114,130324.0,18179.85,1,2025-02-20,2025-02-20,0,Divyansh Sarna,Thiruvananthapuram,South
C1115,204665.55,28178.9,2,2023-10-26,2024-01-23,89,Divyansh Sarraf,Jaipur,North
C1116,129812.4,24467.6,1,2024-07-13,2024-07-13,0,Divyansh Sheth,Ranchi,East
C1117,2187.0,202.04,1,2024-04-19,2024-04-19,0,Divyansh Thakkar,Guwahati,East
C1118,53638.4,10570.07,2,2023-12-20,2025-08-24,613,Divyansh Thaman,Lucknow,North
C1119,49232.0,4029.73,1,2024-01-15,2024-01-15,0,Divyansh Varma,Guwahati,East
C112,41604.0,6951.29,1,2024-12-17,2024-12-17,0,Aaryahi Sagar,Patna,East
C1120,75595.3,15580.38,1,2024-11-15,2024-11-15,0,Diya Bir,Ahmedabad,West
C1121,232669.25,52172.98,1,2024-01-31,2024-01-31,0,Diya Borah,Jaipur,North
C1122,49987.8,6019.35,1,2024-05-02,2024-05-02,0,Diya Buch,Delhi,North
C1123,62310.6,13946.65,1,2025-05-10,2025-05-10,0,Diya Chakrabarti,Thiruvananthapuram,South
C1124,52865.6,3136.41,1,2024-07-20,2024-07-20,0,Diya Char,Patna,East
C1125,193211.8,22291.16,1,2024-09-08,2024-09-08,0,Diya Chauhan,Hyderabad,South
C1126,12396.8,915.96,1,2024-03-27,2024-03-27,0,Diya Dhillon,Bhubaneswar,East
C1127,196956.0,33194.73,1,2025-07-18,2025-07-18,0,Diya Divan,Jaipur,North
C1128,133696.35,10081.54,1,2024-05-01,2024-05-01,0,Diya Edwin,Ranchi,East
C1129,180165.6,33139.42,1,2025-04-17,2025-04-17,0,Diya Gaba,Guwahati,East
C113,27630.0,2099.8,1,2023-10-13,2023-10-13,0,Aaryahi Sehgal,Goa,West
C1130,18745.05,1463.16,1,2025-03-18,2025-03-18,0,Diya Ganguly,Mumbai,West
C1131,257524.5,18555.34,1,2024-10-22,2024-10-22,0,Diya Jha,Jaipur,North
C1132,37022.4,3189.47,1,2025-01-11,2025-01-11,0,Diya Kala,Chennai,South
C1133,11643.2,915.62,1,2025-03-08,2025-03-08,0,Diya Mahal,Patna,East
C1134,183918.75,35399.77,1,2025-04-21,2025-04-21,0,Diya Mand,Guwahati,East
C1135,239472.0,19156.55,1,2025-04-09,2025-04-09,0,Diya Mangal,Surat,West
C1136,66153.0,12470.86,1,2023-10-24,2023-10-24,0,Diya Sachar,Hyderabad,South
C1137,348222.5,24671.88,1,2024-05-07,2024-05-07,0,Diya Sagar,Chandigarh,North
C1138,57531.6,5108.01,1,2025-01-29,2025-01-29,0,Diya Sarraf,Bangalore,South
C1139,216980.0,41078.49,1,2024-11-25,2024-11-25,0,Diya Shanker,Ahmedabad,West
C114,106037.5,10712.41,1,2023-12-14,2023-12-14,0,Aaryahi Taneja,Chandigarh,North
C1140,66795.2,14777.33,1,2025-05-18,2025-05-18,0,Diya Sibal,Coimbatore,South
C1141,116425.6,10761.29,1,2024-01-18,2024-01-18,0,Diya Sura,Ranchi,East
C1142,96155.2,18347.64,1,2025-01-20,2025-01-20,0,Drishya Ahluwalia,Chandigarh,North
C1143,15638.4,1947.58,1,2024-02-14,2024-02-14,0,Drishya Amble,Coimbatore,South
C1144,50517.0,2567.28,1,2025-01-26,2025-01-26,0,Drishya Apte,Pune,West
C1145,188732.0,29552.34,1,2024-02-02,2024-02-02,0,Drishya Bahl,Lucknow,North
C1146,226809.0,45459.16,1,2024-11-28,2024-11-28,0,Drishya Bawa,Coimbatore,South
C1147,197305.6,12488.94,1,2024-10-28,2024-10-28,0,Drishya Brar,Chandigarh,North
C1148,85881.0,7488.56,1,2024-12-29,2024-12-29,0,Drishya Chana,Mumbai,West
C1149,38281.5,7875.97,1,2024-12-02,2024-12-02,0,Drishya Cheema,Coimbatore,South
C115,155420.0,12410.77,1,2025-01-29,2025-01-29,0,Aaryahi Tiwari,Patna,East
C1150,16770.5,3416.82,1,2025-04-06,2025-04-06,0,Drishya Chokshi,Bangalore,South
C1151,46937.0,8046.75,1,2025-07-01,2025-07-01,0,Drishya Das,Ranchi,East
C1152,54330.0,8921.7,1,2025-03-25,2025-03-25,0,Drishya Dasgupta,Mumbai,West
C1153,111784.0,12439.05,1,2023-12-10,2023-12-10,0,Drishya Doshi,Bhubaneswar,East
C1154,140459.4,31023.13,1,2024-08-12,2024-08-12,0,Drishya Gill,Lucknow,North
C1155,57690.0,3438.44,1,2025-06-10,2025-06-10,0,Drishya Goswami,Jaipur,North
C1156,47978.0,5386.17,1,2025-05-07,2025-05-07,0,Drishya Jha,Guwahati,East
C1157,113101.0,25839.19,1,2023-10-19,2023-10-19,0,Drishya Kakar,Delhi,North
C1158,32638.4,2871.6,1,2023-11-07,2023-11-07,0,Drishya Kalita,Goa,West
C1159,6908.4,680.26,1,2023-10-13,2023-10-13,0,Drishya Khare,Mumbai,West
C116,250899.6,61074.47,1,2025-01-18,2025-01-18,0,Aaryahi Wadhwa,Lucknow,North
C1160,33613.25,4294.42,1,2025-04-01,2025-04-01,0,Drishya Korpal,Chandigarh,North
C1161,18574.2,3472.99,1,2023-10-15,2023-10-15,0,Drishya Mahajan,Amritsar,North
C1162,312692.5,35825.33,1,2024-11-10,2024-11-10,0,Drishya Maharaj,Guwahati,East
C1163,124995.2,30886.7,1,2024-02-05,2024-02-05,0,Drishya Mangal,Coimbatore,South
C1164,71077.0,13264.25,1,2025-01-11,2025-01-11,0,Drishya Rao,Mumbai,West
C1165,133799.4,21805.59,1,2025-06-26,2025-06-26,0,Drishya Shroff,Chennai,South
C1166,50040.0,9760.82,1,2023-12-17,2023-12-17,0,Drishya Sibal,Hyderabad,South
C1167,37308.6,4497.49,1,2023-11-08,2023-11-08,0,Ehsaan Aggarwal,Chennai,South
C1168,129490.7,17007.19,1,2025-08-17,2025-08-17,0,Ehsaan Andra,Ranchi,East
C1169,274864.0,25784.16,1,2024-10-02,2024-10-02,0,Ehsaan Babu,Coimbatore,South
C117,15938.1,3911.85,1,2025-06-26,2025-06-26,0,Aayush Banerjee,Goa,West
C1170,283855.25,64522.53,1,2023-11-19,2023-11-19,0,Ehsaan Bhatnagar,Lucknow,North
C1171,130094.9,7882.32,1,2024-04-01,2024-04-01,0,Ehsaan Bhattacharyya,Mumbai,West
C1172,72241.5,3997.8,1,2024-04-13,2024-04-13,0,Ehsaan Bumb,Lucknow,North
C1173,308132.8,43418.4,2,2024-12-25,2025-07-31,218,Ehsaan Butala,Thiruvananthapuram,South
C1174,49866.4,11233.97,1,2025-03-04,2025-03-04,0,Ehsaan Chakraborty,Ranchi,East
C1175,124442.4,27980.89,1,2024-05-26,2024-05-26,0,Ehsaan Das,Bangalore,South
C1176,4291.2,684.39,1,2025-01-31,2025-01-31,0,Ehsaan Dass,Patna,East
C1177,7720.55,1853.99,1,2024-01-21,2024-01-21,0,Ehsaan Date,Lucknow,North
C1178,43259.0,9079.95,1,2024-07-11,2024-07-11,0,Ehsaan Dhillon,Chennai,South
C1179,368942.0,39518.29,1,2024-07-31,2024-07-31,0,Ehsaan Dugar,Ranchi,East
C118,52645.0,10727.91,1,2024-07-02,2024-07-02,0,Aayush Bassi,Ranchi,East
C1180,6209.6,685.22,1,2024-05-20,2024-05-20,0,Ehsaan Ghosh,Delhi,North
C1181,26778.0,4695.38,1,2024-08-20,2024-08-20,0,Ehsaan Gokhale,Thiruvananthapuram,South
C1182,75960.0,4291.91,1,2024-07-17,2024-07-17,0,Ehsaan Karpe,Surat,West
C1183,18065.7,4015.11,1,2024-03-02,2024-03-02,0,Ehsaan Khurana,Hyderabad,South
C1184,62860.05,13813.12,1,2025-05-23,2025-05-23,0,Ehsaan Krishnan,Coimbatore,South
C1185,188470.8,33416.79,1,2024-11-25,2024-11-25,0,Ehsaan Mahal,Pune,West
C1186,19714.4,3850.45,1,2024-02-08,2024-02-08,0,Ehsaan Majumdar,Kolkata,East
C1187,14065.8,2099.9,1,2025-04-19,2025-04-19,0,Ehsaan Rout,Coimbatore,South
C1188,12420.3,667.01,1,2025-02-17,2025-02-17,0,Ehsaan Sawhney,Ranchi,East
C1189,114712.2,18919.06,1,2023-10-19,2023-10-19,0,Ehsaan Saxena,Chennai,South
C119,110984.5,24940.13,1,2024-10-01,2024-10-01,0,Aayush Boase,Guwahati,East
C1190,23826.0,5582.01,1,2024-06-17,2024-06-17,0,Ehsaan Shanker,Chennai,South
C1191,24106.85,2014.08,1,2025-05-15,2025-05-15,0,Ehsaan Soni,Ahmedabad,West
C1192,58805.6,4650.02,1,2025-05-18,2025-05-18,0,Ehsaan Srivastava,Pune,West
C1193,115008.0,24997.52,1,2024-05-23,2024-05-23,0,Ehsaan Talwar,Chandigarh,North
C1194,123868.6,20841.23,1,2025-09-09,2025-09-09,0,Ela Bains,Pune,West
C1195,207312.0,22005.44,1,2024-01-23,2024-01-23,0,Ela Chad,Patna,East
C1196,54312.0,10936.17,1,2025-02-03,2025-02-03,0,Ela Chakraborty,Lucknow,North
C1197,55662.4,12414.3,1,2024-10-20,2024-10-20,0,Ela Chanda,Thiruvananthapuram,South
C1198,111222.5,9145.67,1,2025-01-06,2025-01-06,0,Ela Chandra,Lucknow,North
C1199,170298.9,27185.74,1,2025-03-05,2025-03-05,0,Ela Chokshi,Pune,West
C12,53381.6,4368.49,1,2025-09-13,2025-09-13,0,Aaina Karnik,Guwahati,East
C120,57474.45,9466.49,1,2024-07-05,2024-07-05,0,Aayush Dass,Bangalore,South
C1200,29157.0,1887.58,1,2025-10-01,2025-10-01,0,Ela Dave,Patna,East
C1201,35159.5,7772.96,1,2024-04-17,2024-04-17,0,Ela Dua,Ranchi,East
C1202,55654.4,10611.14,1,2024-05-22,2024-05-22,0,Ela Ghose,Amritsar,North
C1203,245187.6,52690.56,1,2025-03-18,2025-03-18,0,Ela Gulati,Ranchi,East
C1204,56847.0,4259.92,1,2023-10-04,2023-10-04,0,Ela Jain,Chennai,South
C1205,246876.0,36877.13,1,2025-06-18,2025-06-18,0,Ela Kalita,Bangalore,South
C1206,240212.0,17200.15,1,2025-08-08,2025-08-08,0,Ela Khatri,Mumbai,West
C1207,53967.6,7196.1,1,2024-11-11,2024-11-11,0,Ela Koshy,Thiruvananthapuram,South
C1208,133656.0,30876.49,1,2024-06-16,2024-06-16,0,Ela Lanka,Pune,West
C1209,62395.0,6986.53,1,2024-01-28,2024-01-28,0,Ela Singhal,Goa,West
C121,81156.6,19110.09,1,2024-01-22,2024-01-22,0,Aayush Dutt,Bhubaneswar,East
C1210,32216.8,2043.17,1,2025-06-11,2025-06-11,0,Ela Soni,Chennai,South
C1211,208549.2,40557.88,1,2023-11-17,2023-11-17,0,Ela Srivastava,Lucknow,North
C1212,90009.6,7856.96,1,2024-12-24,2024-12-24,0,Ela Tak,Guwahati,East
C1213,67362.0,9850.54,1,2024-01-01,2024-01-01,0,Ela Wadhwa,Thiruvananthapuram,South
C1214,81936.0,6887.13,1,2025-10-02,2025-10-02,0,Ela Yadav,Hyderabad,South
C1215,45651.0,10393.56,1,2025-09-14,2025-09-14,0,Elakshi Aurora,Patna,East
C1216,64880.0,11967.13,1,2025-09-02,2025-09-02,0,Elakshi Bajwa,Goa,West
C1217,22873.5,5134.3,1,2025-06-26,2025-06-26,0,Elakshi Baral,Kolkata,East
C1218,121876.2,25358.5,1,2024-07-14,2024-07-14,0,Elakshi Barman,Kolkata,East
C1219,117718.2,24367.26,1,2025-08-06,2025-08-06,0,Elakshi Batra,Hyderabad,South
C122,177012.0,25876.51,1,2023-12-06,2023-12-06,0,Aayush Gill,Mumbai,West
C1220,133104.9,30382.28,1,2024-02-09,2024-02-09,0,Elakshi Chandran,Ranchi,East
C1221,4432.0,1076.22,1,2025-07-25,2025-07-25,0,Elakshi Chatterjee,Kolkata,East
C1222,44045.8,8913.87,1,2023-11-02,2023-11-02,0,Elakshi Comar,Bhubaneswar,East
C1223,142306.2,10168.18,1,2023-12-25,2023-12-25,0,Elakshi Din,Bangalore,South
C1224,228305.0,54011.07,1,2024-10-11,2024-10-11,0,Elakshi Dugar,Jaipur,North
C1225,228944.0,30219.42,1,2023-11-28,2023-11-28,0,Elakshi Kannan,Thiruvananthapuram,South
C1226,21979.8,2177.63,1,2024-08-28,2024-08-28,0,Elakshi Kashyap,Hyderabad,South
C1227,106764.8,25571.79,1,2024-01-17,2024-01-17,0,Elakshi Koshy,Bhubaneswar,East
C1228,231328.0,17534.93,1,2024-05-15,2024-05-15,0,Elakshi Kulkarni,Coimbatore,South
C1229,154669.5,30424.95,1,2025-06-01,2025-06-01,0,Elakshi Lanka,Bhubaneswar,East
C123,13079.2,2485.08,1,2023-12-02,2023-12-02,0,Aayush Kakar,Thiruvananthapuram,South
C1230,152056.05,28118.74,1,2024-12-03,2024-12-03,0,Elakshi Mall,Kolkata,East
C1231,70992.0,14671.13,1,2025-04-15,2025-04-15,0,Elakshi Mangat,Goa,West
C1232,211433.90000000002,18294.72,2,2024-04-11,2024-06-14,64,Elakshi Mann,Pune,West
C1233,6898.4,677.28,1,2024-05-19,2024-05-19,0,Elakshi Sachdev,Mumbai,West
C1234,46673.5,9053.75,1,2024-12-07,2024-12-07,0,Elakshi Sama,Kolkata,East
C1235,238054.5,28025.07,1,2024-05-14,2024-05-14,0,Elakshi Sangha,Goa,West
C1236,25441.35,1419.79,1,2025-07-06,2025-07-06,0,Elakshi Singhal,Coimbatore,South
C1237,60692.0,12144.4,1,2025-06-18,2025-06-18,0,Elakshi Suresh,Hyderabad,South
C1238,33180.3,3695.39,1,2025-01-14,2025-01-14,0,Emir Batta,Jaipur,North
C1239,93711.8,16471.19,1,2025-01-11,2025-01-11,0,Emir Bhat,Mumbai,West
C124,22338.4,1361.3,1,2024-06-14,2024-06-14,0,Aayush Krish,Hyderabad,South
C1240,35834.95,6612.44,1,2023-12-05,2023-12-05,0,Emir Bhatt,Jaipur,North
C1241,22984.2,1658.79,1,2025-01-08,2025-01-08,0,Emir Chauhan,Jaipur,North
C1242,23921.0,5638.06,1,2024-04-26,2024-04-26,0,Emir Dass,Bangalore,South
C1243,225336.0,41756.57,1,2025-06-11,2025-06-11,0,Emir Doctor,Chennai,South
C1244,47356.55,9849.56,1,2023-12-23,2023-12-23,0,Emir Jain,Hyderabad,South
C1245,168298.2,12144.65,1,2023-11-04,2023-11-04,0,Emir Jha,Ranchi,East
C1246,80194.1,5727.93,1,2024-01-23,2024-01-23,0,Emir Kanda,Goa,West
C1247,31203.2,5436.15,1,2025-08-07,2025-08-07,0,Emir Khatri,Kolkata,East
C1248,207403.4,18493.61,1,2023-12-14,2023-12-14,0,Emir Kulkarni,Kolkata,East
C1249,117254.7,7179.82,1,2024-10-27,2024-10-27,0,Emir Ramanathan,Chennai,South
C125,325316.25,41394.12,1,2024-07-06,2024-07-06,0,Aayush Sengupta,Ranchi,East
C1250,15838.2,2735.84,1,2025-03-20,2025-03-20,0,Emir Sandhu,Lucknow,North
